month,workspace_id,service,cost_usd
2024-04,ws-0074,storage,27.84
2024-12,ws-0012,compute,180.73
2024-04,ws-0035,compute,33.64
2024-11,ws-0058,ai_tokens,3.80
2025-04,ws-0033,storage,91.39
2025-06,ws-0106,compute,58.95
2024-11,ws-0085,storage,13.74
2025-10,ws-0059,ai_tokens,25.89
2026-04,ws-0135,storage,280.24
2024-09,ws-0055,storage,43.11
2026-04,ws-0100,compute,36.94
2025-10,ws-0131,storage,335.53
2025-05,ws-0077,egress,179.55
2025-05,ws-0002,compute,860.43
2024-05,ws-0012,egress,32.48
2026-01,ws-0018,ai_tokens,67.47
2025-02,ws-0132,storage,96.33
2025-09,ws-0001,compute,884.50
2026-03,ws-0102,compute,711.71
2024-04,ws-0057,storage,24.75
2024-06,ws-0080,egress,2.36
2025-05,ws-0075,egress,9.30
2024-09,ws-0028,ai_tokens,8.49
2025-03,ws-0032,egress,3.11
2025-11,ws-0006,ai_tokens,54.09
2026-01,ws-0110,egress,6.56
2025-05,ws-0129,compute,258.86
2026-06,ws-0120,storage,59.43
2025-02,ws-0070,storage,34.47
2025-05,ws-0125,storage,122.67
2026-06,ws-0023,storage,23.20
2024-07,ws-0104,storage,78.26
2025-05,ws-0085,egress,8.12
2025-11,ws-0017,compute,742.64
2024-06,ws-0074,egress,18.58
2025-09,ws-0033,compute,216.32
2025-08,ws-0044,egress,50.48
2025-07,ws-0129,egress,54.36
2026-01,ws-0031,ai_tokens,49.06
2026-03,ws-0052,storage,8.89
2026-04,ws-0054,ai_tokens,3.77
2026-06,ws-0069,storage,70.57
2024-02,ws-0081,egress,2.20
2025-01,ws-0103,ai_tokens,3.12
2024-02,ws-0123,compute,310.65
2026-05,ws-0001,ai_tokens,267.65
2025-03,ws-0007,compute,1015.48
2026-01,ws-0126,ai_tokens,299.97
2025-11,ws-0107,storage,14.70
2025-07,ws-0101,storage,32.83
2025-08,ws-0062,storage,69.59
2026-03,ws-0128,egress,257.80
2024-07,ws-0058,compute,69.19
2024-07,ws-0068,compute,43.91
2025-08,ws-0068,ai_tokens,5.63
2026-03,ws-0132,egress,82.98
2026-02,ws-0025,egress,2.28
2026-02,ws-0038,compute,159.80
2025-02,ws-0084,storage,11.41
2025-01,ws-0101,compute,104.22
2026-04,ws-0068,ai_tokens,13.51
2024-07,ws-0061,compute,82.97
2024-07,ws-0032,compute,13.99
2026-04,ws-0104,egress,42.21
2026-04,ws-0073,compute,35.50
2025-09,ws-0120,storage,43.25
2024-12,ws-0102,storage,219.09
2026-04,ws-0135,egress,134.72
2025-09,ws-0074,compute,113.13
2025-04,ws-0102,compute,515.57
2026-04,ws-0050,compute,44.92
2024-11,ws-0015,storage,100.17
2025-01,ws-0048,storage,4.33
2024-11,ws-0033,compute,189.58
2025-09,ws-0054,egress,2.17
2026-01,ws-0063,egress,4.58
2026-03,ws-0049,storage,5.12
2025-04,ws-0048,ai_tokens,2.03
2025-06,ws-0057,egress,15.76
2026-05,ws-0132,storage,111.32
2026-05,ws-0134,egress,93.59
2026-05,ws-0090,ai_tokens,52.50
2025-12,ws-0071,compute,104.88
2025-04,ws-0018,ai_tokens,15.04
2024-12,ws-0086,storage,13.18
2026-02,ws-0053,egress,2.37
2025-07,ws-0121,storage,540.25
2026-04,ws-0061,ai_tokens,25.68
2026-05,ws-0022,storage,10.97
2025-08,ws-0074,ai_tokens,14.62
2026-04,ws-0129,egress,71.68
2024-01,ws-0017,storage,187.61
2025-08,ws-0017,compute,596.91
2025-01,ws-0079,compute,32.91
2026-02,ws-0072,storage,98.28
2026-06,ws-0070,compute,92.51
2026-02,ws-0001,compute,781.82
2025-02,ws-0130,compute,316.88
2025-12,ws-0031,egress,42.97
2026-05,ws-0124,compute,1142.42
2024-04,ws-0033,egress,58.71
2026-02,ws-0054,egress,2.70
2025-11,ws-0002,storage,444.28
2025-03,ws-0005,storage,3.34
2025-03,ws-0033,storage,78.48
2025-10,ws-0090,compute,159.80
2026-01,ws-0087,compute,376.31
2025-06,ws-0102,egress,121.21
2025-12,ws-0037,ai_tokens,30.55
2026-03,ws-0058,egress,15.00
2025-01,ws-0080,ai_tokens,1.05
2025-03,ws-0072,ai_tokens,19.98
2026-01,ws-0112,egress,208.27
2024-04,ws-0054,storage,3.89
2026-04,ws-0112,ai_tokens,335.64
2024-02,ws-0032,egress,4.10
2024-09,ws-0061,ai_tokens,7.40
2026-06,ws-0093,ai_tokens,26.76
2026-05,ws-0108,compute,135.93
2024-01,ws-0076,egress,17.29
2025-08,ws-0122,egress,353.17
2024-11,ws-0015,egress,53.36
2024-12,ws-0080,storage,2.87
2026-06,ws-0022,ai_tokens,7.38
2025-03,ws-0084,ai_tokens,5.82
2026-06,ws-0007,ai_tokens,346.23
2026-01,ws-0131,compute,944.18
2024-07,ws-0134,compute,285.75
2024-12,ws-0099,storage,348.76
2025-12,ws-0102,ai_tokens,206.88
2024-03,ws-0045,storage,36.21
2024-06,ws-0058,storage,26.61
2024-11,ws-0062,compute,198.30
2026-05,ws-0071,ai_tokens,48.81
2025-05,ws-0094,egress,6.44
2025-06,ws-0043,compute,479.22
2026-03,ws-0058,storage,32.75
2025-02,ws-0076,compute,77.77
2024-06,ws-0043,compute,415.47
2024-04,ws-0117,compute,105.73
2025-10,ws-0105,storage,28.43
2025-06,ws-0002,ai_tokens,232.36
2026-03,ws-0096,storage,55.03
2024-12,ws-0028,ai_tokens,12.01
2026-05,ws-0046,ai_tokens,32.38
2026-02,ws-0026,compute,17.81
2026-05,ws-0050,egress,9.24
2024-09,ws-0028,storage,35.78
2024-05,ws-0040,egress,5.03
2024-03,ws-0001,egress,132.33
2025-02,ws-0104,storage,80.12
2025-12,ws-0045,ai_tokens,20.10
2024-04,ws-0079,storage,10.36
2025-12,ws-0120,compute,140.66
2026-02,ws-0034,storage,205.42
2026-06,ws-0033,compute,197.13
2025-03,ws-0044,storage,118.48
2024-08,ws-0122,compute,1541.98
2024-08,ws-0066,ai_tokens,1.77
2024-11,ws-0085,compute,33.88
2024-01,ws-0047,egress,2.59
2025-09,ws-0126,compute,907.40
2025-05,ws-0125,compute,358.31
2026-02,ws-0021,compute,17.94
2025-05,ws-0132,compute,279.67
2024-04,ws-0133,egress,165.14
2024-04,ws-0057,compute,51.53
2025-10,ws-0123,compute,253.82
2026-03,ws-0077,egress,202.91
2026-01,ws-0102,storage,288.85
2025-03,ws-0008,storage,17.41
2024-08,ws-0124,storage,290.89
2024-02,ws-0124,storage,269.78
2025-02,ws-0120,storage,44.11
2026-05,ws-0082,ai_tokens,4.10
2025-09,ws-0032,storage,8.07
2024-11,ws-0066,storage,13.84
2025-06,ws-0066,compute,43.71
2024-06,ws-0072,compute,216.62
2026-05,ws-0130,storage,174.10
2024-01,ws-0074,egress,23.24
2025-11,ws-0067,storage,20.15
2026-01,ws-0104,compute,230.05
2024-06,ws-0031,egress,31.75
2024-11,ws-0062,egress,44.84
2025-07,ws-0090,egress,33.02
2025-06,ws-0082,ai_tokens,1.39
2026-04,ws-0014,ai_tokens,103.79
2025-06,ws-0053,compute,13.25
2026-02,ws-0123,egress,62.74
2026-05,ws-0029,storage,11.43
2025-11,ws-0072,compute,162.59
2025-07,ws-0053,storage,4.72
2025-05,ws-0068,storage,20.31
2025-10,ws-0039,compute,64.76
2024-12,ws-0058,compute,68.94
2025-08,ws-0032,storage,6.27
2024-08,ws-0033,egress,50.04
2025-12,ws-0134,compute,364.89
2024-02,ws-0075,egress,9.03
2026-01,ws-0033,egress,47.78
2024-01,ws-0080,storage,3.06
2026-01,ws-0055,ai_tokens,28.40
2025-04,ws-0051,compute,168.27
2026-01,ws-0047,storage,4.97
2024-07,ws-0075,compute,39.56
2024-11,ws-0084,compute,42.77
2024-06,ws-0094,egress,4.24
2026-04,ws-0027,egress,5.52
2024-07,ws-0075,egress,9.99
2025-11,ws-0058,storage,26.62
2025-10,ws-0068,ai_tokens,12.20
2024-01,ws-0120,compute,134.63
2024-12,ws-0067,compute,39.68
2025-01,ws-0129,ai_tokens,26.38
2026-03,ws-0109,egress,7.48
2025-07,ws-0105,egress,16.97
2026-06,ws-0052,ai_tokens,5.91
2025-04,ws-0055,storage,64.54
2025-10,ws-0106,ai_tokens,12.40
2025-05,ws-0130,ai_tokens,68.99
2025-06,ws-0015,storage,108.31
2025-08,ws-0110,ai_tokens,5.86
2025-04,ws-0055,ai_tokens,25.77
2024-10,ws-0127,ai_tokens,55.44
2026-03,ws-0013,egress,6.79
2026-05,ws-0084,egress,7.62
2024-10,ws-0029,storage,6.42
2024-07,ws-0084,ai_tokens,2.53
2025-03,ws-0034,egress,90.13
2025-12,ws-0019,ai_tokens,40.63
2026-05,ws-0054,egress,2.22
2025-07,ws-0008,ai_tokens,8.12
2024-08,ws-0132,egress,50.53
2024-04,ws-0047,storage,3.52
2024-01,ws-0035,storage,11.27
2026-04,ws-0130,storage,173.55
2025-10,ws-0038,compute,152.92
2026-01,ws-0098,egress,8.67
2025-12,ws-0059,ai_tokens,36.27
2025-11,ws-0006,egress,43.06
2025-10,ws-0069,ai_tokens,24.71
2026-06,ws-0074,egress,21.57
2024-02,ws-0081,compute,7.53
2025-04,ws-0096,egress,29.78
2025-01,ws-0013,egress,5.82
2025-04,ws-0099,storage,341.22
2024-11,ws-0131,compute,801.27
2025-11,ws-0117,ai_tokens,29.67
2026-04,ws-0057,compute,56.22
2025-02,ws-0073,compute,38.16
2024-09,ws-0102,egress,109.54
2024-03,ws-0044,storage,79.63
2025-03,ws-0048,compute,9.83
2025-03,ws-0031,ai_tokens,14.31
2025-01,ws-0001,compute,629.64
2025-09,ws-0081,egress,1.77
2024-09,ws-0069,compute,146.76
2025-09,ws-0082,compute,8.24
2025-07,ws-0133,compute,1036.07
2024-12,ws-0067,egress,9.26
2024-06,ws-0079,storage,10.83
2025-10,ws-0072,egress,38.31
2026-01,ws-0074,compute,123.98
2025-07,ws-0055,compute,155.89
2026-06,ws-0071,storage,54.38
2024-12,ws-0017,compute,597.75
2024-09,ws-0062,ai_tokens,12.06
2024-09,ws-0032,egress,3.11
2025-04,ws-0015,ai_tokens,24.46
2025-10,ws-0132,storage,151.85
2024-11,ws-0048,compute,9.52
2025-10,ws-0008,compute,39.86
2025-07,ws-0033,compute,284.17
2026-06,ws-0024,egress,118.07
2026-06,ws-0124,egress,229.30
2024-08,ws-0068,ai_tokens,2.78
2025-03,ws-0107,storage,13.36
2024-09,ws-0035,ai_tokens,3.83
2025-06,ws-0029,storage,9.10
2025-03,ws-0008,egress,9.39
2026-06,ws-0032,egress,3.53
2025-08,ws-0131,egress,158.49
2026-02,ws-0062,egress,34.73
2024-09,ws-0117,compute,148.02
2026-05,ws-0052,storage,11.37
2024-01,ws-0132,egress,65.18
2025-12,ws-0067,storage,21.55
2026-06,ws-0135,ai_tokens,225.35
2025-11,ws-0066,egress,11.61
2025-05,ws-0126,compute,917.41
2024-12,ws-0102,egress,127.30
2025-02,ws-0126,compute,800.77
2026-05,ws-0010,storage,6.38
2025-06,ws-0059,ai_tokens,29.09
2025-06,ws-0081,compute,11.81
2025-05,ws-0073,compute,28.24
2026-06,ws-0082,ai_tokens,5.08
2024-11,ws-0099,ai_tokens,90.72
2024-03,ws-0123,compute,286.40
2024-07,ws-0123,egress,69.47
2026-04,ws-0007,storage,400.55
2025-03,ws-0047,storage,5.03
2024-04,ws-0041,egress,28.93
2026-01,ws-0065,storage,57.29
2024-10,ws-0045,compute,122.09
2025-01,ws-0068,compute,55.28
2026-06,ws-0109,egress,9.45
2024-08,ws-0104,ai_tokens,17.69
2024-10,ws-0033,ai_tokens,17.53
2025-11,ws-0018,compute,168.23
2024-02,ws-0082,egress,2.02
2024-12,ws-0073,compute,28.96
2025-12,ws-0007,storage,531.23
2025-12,ws-0060,egress,8.83
2024-06,ws-0038,ai_tokens,6.18
2024-08,ws-0094,ai_tokens,1.41
2025-04,ws-0129,ai_tokens,20.66
2026-02,ws-0082,egress,2.38
2026-01,ws-0101,storage,36.59
2025-03,ws-0028,storage,40.92
2026-03,ws-0097,egress,32.79
2025-10,ws-0030,storage,17.85
2026-01,ws-0133,ai_tokens,409.85
2025-01,ws-0129,egress,56.20
2025-11,ws-0090,compute,175.26
2026-02,ws-0034,ai_tokens,95.71
2024-10,ws-0043,egress,116.15
2026-06,ws-0078,ai_tokens,60.91
2025-04,ws-0118,egress,78.78
2024-05,ws-0120,compute,145.16
2024-10,ws-0084,egress,6.61
2026-01,ws-0135,egress,147.08
2026-05,ws-0097,storage,70.79
2025-05,ws-0128,egress,311.84
2026-04,ws-0078,compute,94.18
2025-11,ws-0041,ai_tokens,21.45
2026-04,ws-0122,compute,1271.35
2024-12,ws-0128,compute,1574.54
2024-10,ws-0099,egress,171.85
2024-04,ws-0134,compute,322.24
2026-01,ws-0060,egress,7.21
2024-05,ws-0103,compute,19.71
2026-03,ws-0134,compute,300.05
2026-01,ws-0070,egress,20.56
2025-04,ws-0072,ai_tokens,22.03
2024-11,ws-0080,egress,2.34
2024-12,ws-0084,compute,29.86
2026-02,ws-0096,compute,159.72
2025-03,ws-0059,compute,137.43
2024-02,ws-0084,storage,14.43
2024-03,ws-0130,compute,326.08
2024-07,ws-0062,storage,72.62
2025-01,ws-0126,egress,194.32
2024-01,ws-0103,compute,28.33
2026-01,ws-0134,egress,71.00
2026-03,ws-0054,egress,2.60
2025-04,ws-0124,compute,852.94
2025-03,ws-0104,ai_tokens,24.43
2026-03,ws-0122,storage,683.69
2024-10,ws-0015,storage,70.03
2025-11,ws-0061,compute,82.69
2025-01,ws-0033,storage,80.19
2026-04,ws-0061,egress,20.11
2025-09,ws-0058,storage,31.73
2026-06,ws-0090,egress,40.25
2024-06,ws-0005,ai_tokens,0.67
2025-10,ws-0061,compute,89.40
2026-01,ws-0060,compute,35.21
2024-11,ws-0044,compute,273.13
2025-01,ws-0094,ai_tokens,2.13
2025-07,ws-0107,egress,9.98
2025-02,ws-0084,egress,7.84
2026-02,ws-0079,compute,30.13
2024-11,ws-0055,ai_tokens,8.54
2026-04,ws-0067,egress,10.77
2025-10,ws-0037,storage,90.96
2024-05,ws-0099,egress,185.76
2026-03,ws-0124,compute,990.88
2026-06,ws-0030,egress,12.40
2025-09,ws-0043,egress,106.19
2024-11,ws-0102,ai_tokens,55.43
2025-08,ws-0051,ai_tokens,53.69
2025-12,ws-0105,egress,17.57
2024-05,ws-0012,storage,60.29
2025-02,ws-0075,egress,10.92
2025-07,ws-0112,egress,197.26
2025-01,ws-0081,compute,7.88
2025-11,ws-0070,compute,82.09
2025-10,ws-0111,storage,96.00
2025-01,ws-0074,compute,109.62
2025-12,ws-0026,storage,5.83
2025-07,ws-0007,storage,412.31
2025-06,ws-0090,compute,169.55
2024-08,ws-0001,ai_tokens,33.02
2024-04,ws-0096,compute,134.96
2024-03,ws-0076,egress,16.11
2026-01,ws-0035,ai_tokens,17.68
2024-09,ws-0072,egress,39.31
2026-05,ws-0125,compute,367.70
2025-09,ws-0037,egress,46.89
2024-06,ws-0074,storage,30.81
2024-08,ws-0084,storage,11.43
2024-08,ws-0102,storage,243.87
2024-01,ws-0082,compute,9.62
2026-04,ws-0109,ai_tokens,21.22
2025-11,ws-0125,ai_tokens,107.88
2025-07,ws-0074,compute,108.47
2024-11,ws-0017,egress,158.87
2025-10,ws-0063,compute,18.49
2024-02,ws-0125,storage,120.81
2026-05,ws-0023,ai_tokens,26.15
2024-07,ws-0084,egress,6.94
2024-05,ws-0015,storage,90.59
2024-09,ws-0134,ai_tokens,19.58
2026-06,ws-0002,ai_tokens,464.87
2024-12,ws-0075,egress,8.71
2025-02,ws-0059,storage,68.60
2024-12,ws-0038,egress,35.15
2024-12,ws-0079,egress,8.11
2024-11,ws-0132,compute,298.95
2024-12,ws-0061,ai_tokens,7.48
2025-07,ws-0058,compute,66.21
2026-05,ws-0131,compute,937.64
2024-01,ws-0075,storage,13.77
2026-05,ws-0123,compute,251.28
2024-02,ws-0035,compute,43.44
2025-04,ws-0045,storage,45.18
2024-01,ws-0067,egress,9.78
2024-10,ws-0107,storage,14.29
2026-01,ws-0069,egress,38.45
2025-06,ws-0063,egress,3.57
2025-09,ws-0051,compute,228.74
2026-06,ws-0076,storage,34.55
2025-08,ws-0110,egress,6.01
2026-05,ws-0040,storage,9.72
2024-08,ws-0099,ai_tokens,64.39
2025-07,ws-0028,egress,27.15
2026-05,ws-0054,storage,5.19
2025-12,ws-0133,ai_tokens,240.55
2024-12,ws-0055,ai_tokens,17.41
2026-04,ws-0121,egress,281.32
2026-04,ws-0117,compute,128.94
2025-05,ws-0081,compute,10.78
2026-06,ws-0111,egress,77.48
2024-06,ws-0102,egress,137.16
2026-03,ws-0076,compute,57.48
2026-04,ws-0075,storage,17.63
2025-09,ws-0117,storage,54.34
2026-03,ws-0056,egress,3.11
2025-05,ws-0133,ai_tokens,126.38
2025-03,ws-0016,storage,12.05
2026-06,ws-0028,ai_tokens,61.38
2025-12,ws-0018,compute,162.48
2024-01,ws-0073,storage,8.90
2026-06,ws-0039,ai_tokens,22.64
2025-06,ws-0134,storage,155.81
2025-03,ws-0096,ai_tokens,16.73
2025-02,ws-0094,compute,26.68
2024-08,ws-0084,egress,7.19
2025-08,ws-0051,egress,50.40
2025-08,ws-0110,compute,40.23
2024-12,ws-0059,storage,49.07
2026-04,ws-0035,ai_tokens,23.38
2025-07,ws-0121,egress,276.43
2026-05,ws-0068,compute,51.01
2025-12,ws-0069,egress,47.94
2025-10,ws-0103,storage,10.32
2025-02,ws-0066,compute,41.08
2026-06,ws-0077,compute,852.13
2026-02,ws-0086,compute,32.18
2024-01,ws-0124,egress,197.00
2026-05,ws-0101,compute,78.11
2025-06,ws-0079,egress,5.49
2024-10,ws-0117,compute,113.06
2026-04,ws-0012,storage,85.75
2025-11,ws-0108,ai_tokens,48.83
2024-12,ws-0032,ai_tokens,0.98
2025-05,ws-0121,compute,1026.00
2025-08,ws-0005,ai_tokens,1.59
2026-03,ws-0064,compute,552.56
2025-11,ws-0032,egress,4.20
2025-03,ws-0129,egress,47.34
2025-02,ws-0069,ai_tokens,17.39
2024-07,ws-0134,storage,106.55
2026-05,ws-0012,egress,41.62
2025-11,ws-0057,egress,14.74
2024-08,ws-0044,egress,61.03
2026-01,ws-0039,compute,74.35
2025-09,ws-0060,egress,8.42
2025-06,ws-0008,storage,12.44
2025-09,ws-0105,egress,13.47
2026-05,ws-0042,ai_tokens,105.27
2026-03,ws-0120,compute,148.63
2024-07,ws-0015,ai_tokens,18.18
2026-02,ws-0046,compute,88.84
2025-02,ws-0127,ai_tokens,44.81
2024-11,ws-0032,egress,3.96
2024-01,ws-0086,egress,7.79
2025-08,ws-0064,ai_tokens,67.47
2024-07,ws-0099,compute,937.75
2024-08,ws-0094,egress,4.99
2026-04,ws-0057,storage,29.49
2026-05,ws-0096,ai_tokens,34.25
2024-12,ws-0005,storage,4.27
2025-09,ws-0038,ai_tokens,25.21
2025-10,ws-0075,ai_tokens,14.26
2025-02,ws-0133,ai_tokens,68.58
2024-10,ws-0101,compute,102.37
2025-03,ws-0067,storage,16.90
2026-06,ws-0073,storage,14.12
2026-03,ws-0134,storage,134.16
2024-10,ws-0128,ai_tokens,124.44
2025-08,ws-0048,storage,5.14
2025-07,ws-0050,egress,7.53
2024-04,ws-0033,storage,83.91
2025-04,ws-0026,egress,3.94
2025-04,ws-0079,storage,11.95
2025-07,ws-0108,compute,169.42
2024-11,ws-0001,storage,220.35
2025-12,ws-0049,ai_tokens,2.60
2024-05,ws-0044,egress,46.12
2025-06,ws-0061,ai_tokens,12.07
2024-12,ws-0127,compute,507.24
2025-11,ws-0034,storage,211.86
2025-10,ws-0102,storage,251.01
2024-02,ws-0032,storage,4.45
2025-10,ws-0066,egress,9.55
2024-11,ws-0070,storage,37.10
2024-12,ws-0118,compute,328.62
2024-06,ws-0081,egress,2.00
2025-02,ws-0018,storage,63.74
2026-04,ws-0107,storage,20.74
2024-08,ws-0126,ai_tokens,56.50
2024-01,ws-0053,compute,11.61
2025-02,ws-0075,compute,44.15
2024-11,ws-0075,egress,9.10
2024-11,ws-0099,compute,683.32
2025-12,ws-0111,egress,53.15
2025-03,ws-0124,ai_tokens,76.99
2025-01,ws-0032,storage,5.13
2024-10,ws-0121,compute,1370.41
2026-03,ws-0105,storage,30.85
2025-02,ws-0002,ai_tokens,73.82
2024-04,ws-0101,storage,29.16
2026-01,ws-0005,egress,2.21
2024-07,ws-0082,egress,1.96
2026-02,ws-0002,compute,1279.69
2026-04,ws-0056,egress,2.75
2026-03,ws-0016,storage,13.84
2024-10,ws-0132,ai_tokens,26.69
2024-01,ws-0082,egress,1.91
2025-05,ws-0073,ai_tokens,5.09
2024-02,ws-0068,storage,12.58
2024-03,ws-0107,storage,9.94
2025-12,ws-0058,ai_tokens,21.73
2026-04,ws-0043,compute,556.18
2024-12,ws-0035,egress,8.52
2026-02,ws-0122,storage,547.45
2024-04,ws-0012,egress,36.42
2025-06,ws-0086,storage,15.13
2026-04,ws-0135,ai_tokens,250.19
2024-06,ws-0012,compute,132.88
2024-03,ws-0047,egress,2.98
2025-11,ws-0130,compute,321.21
2025-08,ws-0108,ai_tokens,29.10
2026-05,ws-0040,egress,6.12
2024-10,ws-0068,compute,46.49
2026-06,ws-0004,compute,71.42
2024-08,ws-0085,compute,32.55
2025-06,ws-0126,storage,336.51
2024-02,ws-0123,egress,60.94
2026-04,ws-0005,egress,2.89
2025-08,ws-0117,storage,53.43
2024-07,ws-0032,storage,5.68
2025-11,ws-0056,ai_tokens,4.03
2025-08,ws-0127,egress,106.95
2026-04,ws-0026,ai_tokens,3.91
2025-12,ws-0035,ai_tokens,16.30
2025-08,ws-0053,egress,2.93
2024-02,ws-0104,compute,169.82
2025-06,ws-0067,ai_tokens,6.86
2024-09,ws-0026,egress,3.43
2025-11,ws-0017,ai_tokens,85.50
2026-04,ws-0046,compute,88.49
2026-02,ws-0076,compute,77.47
2024-06,ws-0049,storage,3.69
2024-11,ws-0072,storage,54.07
2025-01,ws-0090,egress,32.70
2025-07,ws-0032,storage,6.38
2024-03,ws-0001,compute,632.83
2026-04,ws-0105,storage,32.64
2026-01,ws-0027,storage,9.50
2025-11,ws-0081,egress,2.43
2024-11,ws-0043,ai_tokens,28.76
2024-12,ws-0016,compute,22.78
2025-01,ws-0028,egress,18.52
2026-02,ws-0050,compute,33.79
2024-11,ws-0038,egress,30.00
2025-04,ws-0058,egress,18.09
2024-08,ws-0120,ai_tokens,7.03
2025-09,ws-0048,ai_tokens,3.46
2026-01,ws-0079,compute,35.42
2025-01,ws-0034,compute,371.80
2025-11,ws-0017,egress,123.30
2025-02,ws-0094,egress,4.59
2025-06,ws-0017,compute,689.16
2024-12,ws-0044,compute,305.20
2025-04,ws-0001,storage,228.60
2024-05,ws-0054,compute,8.97
2026-06,ws-0081,storage,4.11
2026-06,ws-0039,storage,40.80
2026-01,ws-0037,compute,222.98
2026-02,ws-0070,storage,42.51
2025-12,ws-0085,egress,10.68
2024-03,ws-0055,compute,129.52
2024-06,ws-0099,compute,891.13
2024-08,ws-0066,egress,9.15
2026-03,ws-0061,egress,16.15
2025-12,ws-0018,egress,42.04
2024-11,ws-0015,compute,231.27
2024-01,ws-0040,egress,4.08
2024-03,ws-0102,egress,111.62
2024-12,ws-0079,compute,23.82
2024-09,ws-0085,storage,15.88
2025-04,ws-0094,compute,21.53
2026-01,ws-0064,storage,274.21
2026-04,ws-0033,storage,95.48
2024-12,ws-0017,ai_tokens,70.46
2024-12,ws-0134,storage,150.07
2025-01,ws-0128,compute,1071.08
2024-07,ws-0103,storage,9.99
2024-07,ws-0013,ai_tokens,1.89
2025-11,ws-0016,compute,22.93
2026-02,ws-0111,storage,124.57
2026-06,ws-0132,ai_tokens,149.73
2024-03,ws-0132,storage,79.97
2025-05,ws-0013,ai_tokens,3.13
2026-02,ws-0026,ai_tokens,3.64
2025-08,ws-0052,storage,8.68
2025-04,ws-0028,storage,33.78
2025-05,ws-0017,egress,107.72
2024-09,ws-0045,compute,117.14
2025-04,ws-0081,storage,4.28
2024-05,ws-0112,storage,297.41
2024-07,ws-0133,storage,281.15
2026-04,ws-0110,egress,6.33
2025-02,ws-0018,egress,35.09
2024-01,ws-0033,compute,235.85
